task_key,method_family,compression_ratio,retained_budget,n_official_tasks,Acc,CIF,ERR,ECov,DRR,delta_NLL,GPR
ruler_common_words_extraction,adaptive_headwise_pruning,0.25,0.75,1,0.903,0.03,N/A,N/A,N/A,0.012350639246266688,0.9891187998348333
ruler_common_words_extraction,adaptive_headwise_pruning,0.5,0.5,1,0.885,0.12,N/A,N/A,N/A,0.04086399246724185,0.9772577942332806
ruler_common_words_extraction,adaptive_headwise_pruning,0.75,0.25,1,0.816,0.24,N/A,N/A,N/A,0.26105327927228567,0.8779418556305335
ruler_common_words_extraction,attention_observation_pruning,0.25,0.75,1,0.902,0.06,1.0,1.0,N/A,0.005142555035849022,0.9985220592013129
ruler_common_words_extraction,attention_observation_pruning,0.5,0.5,1,0.883,0.1,1.0,1.0,N/A,0.011832925667340354,0.9974267207287155
ruler_common_words_extraction,attention_observation_pruning,0.75,0.25,1,0.804,0.29,1.0,1.0,N/A,0.14219169437269424,0.9199093092567857
ruler_common_words_extraction,budget_allocation_hierarchical,0.25,0.75,1,0.902,0.06,1.0,1.0,N/A,0.005142555035849022,0.9985220592013129
ruler_common_words_extraction,budget_allocation_hierarchical,0.5,0.5,1,0.883,0.1,1.0,1.0,N/A,0.011832925667340354,0.9974267207287155
ruler_common_words_extraction,budget_allocation_hierarchical,0.75,0.25,1,0.804,0.29,1.0,1.0,N/A,0.14219169437269424,0.9199093092567857
ruler_common_words_extraction,chunk_semantic_preservation,0.25,0.75,1,0.87,0.23,N/A,N/A,N/A,0.16856662791146093,0.9448959920291745
ruler_common_words_extraction,chunk_semantic_preservation,0.5,0.5,1,0.78,0.38,N/A,N/A,N/A,0.5018070890234356,0.7909684412974043
ruler_common_words_extraction,chunk_semantic_preservation,0.75,0.25,1,0.27699999999999997,0.42,N/A,N/A,N/A,1.0402692270996468,0.6473810316711964
ruler_common_words_extraction,hf_kv_cache_quantization,0.25,0.75,1,0.898989898989899,0.020202020202020204,1.0,1.0,N/A,-4.0065456524844204e-05,1.0002630175817628
