task_key,method_family,compression_ratio,retained_budget,n_official_tasks,Acc,CIF,ERR,ECov,DRR,delta_NLL,GPR
longbench_qasper,chunk_semantic_preservation,0.25,0.75,1,0.24,0.07,1.0,1.0,0.9996293910677564,0.2550174064080844,0.8505692373827067
longbench_qasper,chunk_semantic_preservation,0.5,0.5,1,0.21,0.11,0.979894159264381,0.99875,0.9783928231186956,0.5967836748050943,0.69059987260141
longbench_qasper,chunk_semantic_preservation,0.75,0.25,1,0.185,0.12,0.7981338159528782,0.9495833333333333,0.8244462524354477,1.235333441778107,0.48848436371465803
longbench_qasper,hf_kv_cache_quantization,0.25,0.75,1,0.295,0.005,1.0,1.0,1.0,0.0023438999477351733,0.9977437878995957
longbench_qasper,hf_kv_cache_quantization,0.5,0.5,1,0.295,0.015,1.0,1.0,1.0,0.037823549351313684,0.9780416786238624
longbench_qasper,hf_kv_cache_quantization,0.75,0.25,1,0.085,0.21,1.0,1.0,1.0,3.773327826973374,0.25520338788471386
longbench_qasper,key_channel_pruning,0.25,0.75,1,0.28,0.03,1.0,1.0,1.0,0.03192624976142827,1.002552929211564
longbench_qasper,key_channel_pruning,0.5,0.5,1,0.065,0.23,1.0,1.0,1.0,6.899943666127481,0.14767265944207153
longbench_qasper,key_channel_pruning,0.75,0.25,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
longbench_qasper,key_space_signal_pruning,0.25,0.75,1,0.245,0.055,1.0,1.0,1.0,0.32261676694903474,0.7978639993921602
longbench_qasper,key_space_signal_pruning,0.5,0.5,1,0.18,0.12,1.0,1.0,1.0,0.9318020419646073,0.5462765870610802
longbench_qasper,key_space_signal_pruning,0.75,0.25,1,0.135,0.17,1.0,1.0,0.9999890271547862,2.4481785967145804,0.3065171107656464
longbench_qasper,last_query_attention_pruning,0.25,0.75,1,0.3,0.0,0.9998715724356765,1.0,0.9994343931959235,0.03748926865677716,0.9828797575402919
longbench_qasper,last_query_attention_pruning,0.5,0.5,1,0.29,0.03,0.9948172552373791,1.0,0.9799642640423483,0.14780897970245818,0.9082733534568225
longbench_qasper,last_query_attention_pruning,0.75,0.25,1,0.275,0.05,0.9401034010476308,1.0,0.8339610577727014,0.4038058144729056,0.762362753723216
longbench_qasper,recency_attention_sink_pruning,0.25,0.75,1,0.25,0.06,0.7507387870321867,0.7591666666666668,0.692666108697014,0.31316795778670276,0.874688814855744
longbench_qasper,recency_attention_sink_pruning,0.5,0.5,1,0.215,0.1,0.4726316090774876,0.48416666666666663,0.48889474425440527,0.7246038562817941,0.706779949280198
longbench_qasper,recency_attention_sink_pruning,0.75,0.25,1,0.175,0.13,0.203188060554692,0.20958333333333332,0.2876593256576198,1.092621194488895,0.5567230976145771
