dataset,retained_budget,method_left,method_right,intersection,union,jaccard,left_ECov_slot,right_ECov_slot,left_delta_NLL,right_delta_NLL,left_EAR,right_EAR
HotpotQA,0.75,TOVAPress,AdaKVPress,2,6,0.3333333333333333,0.9930555555555556,0.8984375,0.0,0.0,,
HotpotQA,0.75,KeyDiffPress,ThinKPress,11,29,0.3793103448275862,0.8826283670033669,1.0,0.2685142406591177,0.006401816568588747,,
HotpotQA,0.75,KeyDiffPress,ChunkKVPress_Knorm,14,45,0.3111111111111111,0.9057953042328043,0.6990740740740741,0.20872009302699565,1.0199774023426464,,
HotpotQA,0.75,KeyDiffPress,AdaKVPress,4,25,0.16,0.9184027777777778,0.9084201388888888,-0.031628771032487346,0.11419735896555838,,
HotpotQA,0.75,KeyDiffPress,QuantizedCache,3,24,0.125,0.9363425925925926,1.0,-0.014472908628599365,0.0037941529508157914,,
HotpotQA,0.75,ThinKPress,ChunkKVPress_Knorm,11,40,0.275,1.0,0.7037037037037037,0.006041650303531008,0.8554010507704087,,
HotpotQA,0.75,ThinKPress,AdaKVPress,5,16,0.3125,1.0,0.8947916666666667,0.0008173704254649472,0.09135788717244671,,
HotpotQA,0.75,ThinKPress,QuantizedCache,3,16,0.1875,1.0,1.0,0.004443286558154884,0.0037941529508157914,,
HotpotQA,0.75,ChunkKVPress_Knorm,AdaKVPress,5,35,0.14285714285714285,0.6777777777777778,0.8947916666666667,0.04162098826743286,0.09135788717244671,,
HotpotQA,0.75,ChunkKVPress_Knorm,QuantizedCache,3,35,0.08571428571428572,0.75,1.0,0.08078134455496604,0.0037941529508157914,,
HotpotQA,0.75,AdaKVPress,QuantizedCache,1,7,0.14285714285714285,1.0,1.0,-5.6212302297353745e-06,2.812369954563465e-05,,
Qasper,0.25,StreamingLLMPress,SnapKVPress,6,27,0.2222222222222222,0.0,0.2152777777777778,2.066258023155265,0.5925709694886687,,
Qasper,0.25,StreamingLLMPress,TOVAPress,8,28,0.2857142857142857,0.0,0.4201388888888889,2.19392923344867,0.3826448267733703,,
Qasper,0.25,StreamingLLMPress,KeyDiffPress,22,38,0.5789473684210527,0.0,0.06636679292929293,1.8374513731705955,2.647709999838722,,
Qasper,0.25,StreamingLLMPress,ChunkKVPress_Knorm,15,35,0.42857142857142855,0.0,0.15185185185185185,2.0632709110158527,2.077669652301046,,
Qasper,0.25,StreamingLLMPress,AdaKVPress,6,27,0.2222222222222222,0.0,0.2633101851851852,2.066258023155265,0.7554020264448079,,
Qasper,0.25,StreamingLLMPress,QuantizedCache,24,44,0.5454545454545454,0.0,1.0,1.7741115844895623,3.780728075549774,,
Qasper,0.25,SnapKVPress,TOVAPress,7,10,0.7,0.24503968253968253,0.42857142857142855,0.5539976326341146,0.3593695424074041,,
Qasper,0.25,SnapKVPress,KeyDiffPress,7,34,0.20588235294117646,0.24503968253968253,0.0818452380952381,0.5539976326341146,2.4030950910749724,,
Qasper,0.25,SnapKVPress,ChunkKVPress_Knorm,6,25,0.24,0.234375,0.12962962962962962,0.5333197953373434,2.0687481377773826,,
Qasper,0.25,SnapKVPress,AdaKVPress,7,7,1.0,0.24503968253968253,0.28670634920634924,0.5539976326341146,0.646889997745184,,
Qasper,0.25,SnapKVPress,QuantizedCache,7,42,0.16666666666666666,0.24503968253968253,1.0,0.5539976326341146,5.516163789730994,,
Qasper,0.25,TOVAPress,KeyDiffPress,9,35,0.2571428571428571,0.4382716049382716,0.08950617283950618,0.33738968005703757,2.277998287810365,,
Qasper,0.25,TOVAPress,ChunkKVPress_Knorm,8,26,0.3076923076923077,0.4444444444444444,0.2013888888888889,0.32157606065730443,2.422539759983284,,
Qasper,0.25,TOVAPress,AdaKVPress,7,10,0.7,0.42857142857142855,0.28670634920634924,0.3593695424074041,0.646889997745184,,
Qasper,0.25,TOVAPress,QuantizedCache,10,42,0.23809523809523808,0.4583333333333333,1.0,0.29316261319154685,5.525764894615266,,
Qasper,0.25,KeyDiffPress,ChunkKVPress_Knorm,23,35,0.6571428571428571,0.05298913043478261,0.11714975845410627,2.5594375079951353,1.9066932668228203,,
Qasper,0.25,KeyDiffPress,AdaKVPress,7,34,0.20588235294117646,0.0818452380952381,0.28670634920634924,2.4030950910749724,0.646889997745184,,
Qasper,0.25,KeyDiffPress,QuantizedCache,31,45,0.6888888888888889,0.07028449820788531,1.0,2.4011339841922386,3.793198916580182,,
Qasper,0.25,ChunkKVPress_Knorm,AdaKVPress,6,25,0.24,0.12962962962962962,0.2766203703703704,2.0687481377773826,0.6587402045925739,,
Qasper,0.25,ChunkKVPress_Knorm,QuantizedCache,24,42,0.5714285714285714,0.11689814814814814,1.0,2.0252188767352153,3.429651941795262,,
Qasper,0.25,AdaKVPress,QuantizedCache,7,42,0.16666666666666666,0.28670634920634924,1.0,0.646889997745184,5.516163789730994,,
Qasper,0.5,StreamingLLMPress,SnapKVPress,5,20,0.25,0.0,0.5395833333333334,1.785613520788648,0.08209058493599075,,
Qasper,0.5,StreamingLLMPress,TOVAPress,3,23,0.13043478260869565,0.0,0.8148148148148149,2.2524976440557984,0.1352092207467881,,
Qasper,0.5,StreamingLLMPress,KeyDiffPress,13,31,0.41935483870967744,0.0,0.5387286324786325,2.048093800150419,1.114167726889702,,
Qasper,0.5,StreamingLLMPress,ThinKPress,20,46,0.43478260869565216,0.0,1.0,2.0176870847447494,9.126358211775454,,
Qasper,0.5,StreamingLLMPress,ChunkKVPress_Knorm,12,30,0.4,0.0,0.4861111111111111,1.986674488602068,1.2576758979592264,,
Qasper,0.5,StreamingLLMPress,AdaKVPress,6,20,0.3,0.0,0.5815972222222222,2.1334172069417954,0.10026697071554107,,
Qasper,0.5,StreamingLLMPress,QuantizedCache,1,22,0.045454545454545456,0.0,1.0,1.3251834364963075,-0.03461147072128634,,
Qasper,0.5,SnapKVPress,TOVAPress,3,8,0.375,0.6099537037037037,0.8148148148148149,0.03664796227947683,0.1352092207467881,,
Qasper,0.5,SnapKVPress,KeyDiffPress,5,24,0.20833333333333334,0.5395833333333334,0.4180555555555555,0.08209058493599075,0.6023131033461475,,
Qasper,0.5,SnapKVPress,ThinKPress,5,46,0.10869565217391304,0.5395833333333334,1.0,0.08209058493599075,7.905558995469727,,
Qasper,0.5,SnapKVPress,ChunkKVPress_Knorm,4,23,0.17391304347826086,0.5208333333333334,0.5208333333333334,0.03688775488899884,0.6061676051100598,,
Qasper,0.5,SnapKVPress,AdaKVPress,5,6,0.8333333333333334,0.5395833333333334,0.58125,0.08209058493599075,0.06730283301135907,,
Qasper,0.5,SnapKVPress,QuantizedCache,1,7,0.14285714285714285,0.5972222222222222,1.0,0.02660973430491409,-0.03461147072128634,,
Qasper,0.5,TOVAPress,KeyDiffPress,5,25,0.2,0.8555555555555555,0.36527777777777776,0.11729143385508581,0.7398412504291327,,
