task_key,method_family,compression_ratio,retained_budget,n_official_tasks,Acc,CIF,ERR,ECov,DRR,delta_NLL,GPR
ruler_frequent_words_extraction,chunk_semantic_preservation,0.25,0.75,1,0.86,0.14,1.0,1.0,N/A,0.00043340723189951415,0.9995694519813239
ruler_frequent_words_extraction,chunk_semantic_preservation,0.5,0.5,1,0.83,0.19,1.0,1.0,N/A,0.0023048807453577356,0.9978444894929488
ruler_frequent_words_extraction,chunk_semantic_preservation,0.75,0.25,1,0.75,0.35,1.0,1.0,N/A,0.005806646529932251,0.9949844432321278
ruler_frequent_words_extraction,hf_kv_cache_quantization,0.25,0.75,1,0.8633333333333333,0.06,1.0,1.0,N/A,2.9122156382797025e-05,0.9999709036826802
ruler_frequent_words_extraction,hf_kv_cache_quantization,0.5,0.5,1,0.87,0.1,1.0,1.0,N/A,0.00011854087846878025,0.999881814125917
ruler_frequent_words_extraction,hf_kv_cache_quantization,0.75,0.25,1,0.18666666666666665,0.59,1.0,1.0,N/A,0.5424342023868547,0.739353242088181
ruler_frequent_words_extraction,key_channel_pruning,0.25,0.75,1,0.91,0.04,1.0,1.0,N/A,0.00022651752366124046,0.9997736665048668
ruler_frequent_words_extraction,key_channel_pruning,0.5,0.5,1,0.0,0.62,1.0,1.0,N/A,9.1319168952484,0.0011386857811958274
ruler_frequent_words_extraction,key_channel_pruning,0.75,0.25,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ruler_frequent_words_extraction,key_space_signal_pruning,0.25,0.75,1,0.8966666666666667,0.09,1.0,1.0,N/A,-3.3363772647954093e-06,1.000003366404662
ruler_frequent_words_extraction,key_space_signal_pruning,0.5,0.5,1,0.87,0.16,1.0,1.0,N/A,0.0028873783301385193,0.9974908530430947
ruler_frequent_words_extraction,key_space_signal_pruning,0.75,0.25,1,0.8366666666666667,0.28,1.0,1.0,N/A,0.036350453578695555,0.9894698643131656
ruler_frequent_words_extraction,last_query_attention_pruning,0.25,0.75,1,0.8633333333333333,0.07,1.0,1.0,N/A,4.354080014303596e-05,0.9999564912048572
ruler_frequent_words_extraction,last_query_attention_pruning,0.5,0.5,1,0.8666666666666667,0.1,1.0,1.0,N/A,6.484362575086111e-05,0.9999352521876133
ruler_frequent_words_extraction,last_query_attention_pruning,0.75,0.25,1,0.8633333333333333,0.16,1.0,1.0,N/A,0.0001049731551669586,0.9998952758184152
ruler_frequent_words_extraction,recency_attention_sink_pruning,0.25,0.75,1,0.8766666666666667,0.17,0.0,0.0,N/A,0.004208656569438114,0.9961796370300913
ruler_frequent_words_extraction,recency_attention_sink_pruning,0.5,0.5,1,0.8566666666666667,0.19,0.0,0.0,N/A,0.007401549533665626,0.9946148184482994
ruler_frequent_words_extraction,recency_attention_sink_pruning,0.75,0.25,1,0.8,0.29,0.0,0.0,N/A,0.009911855075789637,0.9929325389156031
ruler_multikey_niah,adaptive_headwise_pruning,0.25,0.75,3,1.0,0.0,N/A,N/A,N/A,7.725004383700903e-06,0.999992277754393
ruler_multikey_niah,adaptive_headwise_pruning,0.5,0.5,3,0.9966666666666667,0.0033333333333333335,1.0,1.0,1.0,0.0011161616562260135,0.9990178140606635
ruler_multikey_niah,adaptive_headwise_pruning,0.75,0.25,3,0.9566666666666667,0.043333333333333335,1.0,1.0,0.9982017212546208,0.028480643445041722,0.9835427967993269
ruler_multikey_niah,attention_observation_pruning,0.25,0.75,3,1.0,0.0,1.0,1.0,1.0,1.1719269877763135e-05,0.9999882877321126
ruler_multikey_niah,attention_observation_pruning,0.5,0.5,3,0.9899999999999999,0.01,1.0,1.0,1.0,0.013240953857129195,0.9911478461758132
ruler_multikey_niah,attention_observation_pruning,0.75,0.25,3,0.9133333333333334,0.08666666666666667,1.0,1.0,0.9971117963548068,0.08272463019585036,0.95337118715549
ruler_multikey_niah,budget_allocation_hierarchical,0.25,0.75,3,1.0,0.0,1.0,1.0,1.0,1.1719269877763135e-05,0.9999882877321126
ruler_multikey_niah,budget_allocation_hierarchical,0.5,0.5,3,0.9899999999999999,0.01,1.0,1.0,1.0,0.013240953857129195,0.9911478461758132
ruler_multikey_niah,budget_allocation_hierarchical,0.75,0.25,3,0.9133333333333334,0.08666666666666667,1.0,1.0,0.9971117963548068,0.08272463019585036,0.95337118715549
ruler_multikey_niah,chunk_semantic_preservation,0.25,0.75,3,0.86,0.14,1.0,1.0,0.999815345962875,0.12940141902355254,0.9223573506280767
ruler_multikey_niah,chunk_semantic_preservation,0.5,0.5,3,0.5933333333333334,0.4066666666666667,0.9808159544909653,1.0,0.9805718659464498,0.6752911564013416,0.6782673497709185
ruler_multikey_niah,chunk_semantic_preservation,0.75,0.25,3,0.37999999999999995,0.62,0.8101619008983901,0.9833333333333334,0.8310534588389125,1.4385710000317988,0.41881454247111116
ruler_multikey_niah,hf_kv_cache_quantization,0.25,0.75,3,1.0,0.0,1.0,1.0,1.0,7.503003767633798e-07,0.9999992498620652
ruler_multikey_niah,hf_kv_cache_quantization,0.5,0.5,3,1.0,0.0,1.0,1.0,1.0,1.2577955554760786e-05,0.9999874307448026
ruler_multikey_niah,hf_kv_cache_quantization,0.75,0.25,3,0.08333333333333333,0.9166666666666666,1.0,1.0,1.0,2.2783977427354856,0.20776077182282734
ruler_multikey_niah,key_channel_pruning,0.25,0.75,3,1.0,0.0,N/A,N/A,N/A,0.00043309500194801416,0.9995676331581772
ruler_multikey_niah,key_channel_pruning,0.5,0.5,3,0.0,1.0,1.0,1.0,1.0,6.400179850175572,0.003057470584801505
ruler_multikey_niah,key_channel_pruning,0.75,0.25,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ruler_multikey_niah,key_space_signal_pruning,0.25,0.75,3,0.96,0.04,1.0,1.0,1.0,0.0182385312030514,0.9861311046102439
ruler_multikey_niah,key_space_signal_pruning,0.5,0.5,3,0.7866666666666666,0.21333333333333335,1.0,1.0,1.0,0.25071260304421394,0.8693198156275765
ruler_multikey_niah,key_space_signal_pruning,0.75,0.25,3,0.48333333333333334,0.5166666666666667,0.9998722676500454,1.0,0.9999280438651544,1.0175276856864286,0.5883670090987311
ruler_multikey_niah,last_query_attention_pruning,0.25,0.75,3,0.9966666666666667,0.0033333333333333335,1.0,1.0,0.9999239694550451,0.0029566699609078245,0.9979899676196755
ruler_multikey_niah,last_query_attention_pruning,0.5,0.5,3,0.94,0.06,0.9998300854985565,1.0,0.9890404779063764,0.04096988214338266,0.9732159720562815
ruler_multikey_niah,last_query_attention_pruning,0.75,0.25,3,0.6333333333333333,0.3666666666666667,0.9788661671564286,1.0,0.8715340645230825,0.5393104026737717,0.7135673973183584
ruler_multikey_niah,recency_attention_sink_pruning,0.25,0.75,3,0.7766666666666667,0.22333333333333336,0.7766666666666667,0.7766666666666667,0.7424905335721589,0.567438245019556,0.795825294552288
ruler_multikey_niah,recency_attention_sink_pruning,0.5,0.5,3,0.5033333333333333,0.49666666666666665,0.5033333333333333,0.5033333333333333,0.4828514631513989,1.2505268484305208,0.5462943575930226
ruler_multikey_niah,recency_attention_sink_pruning,0.75,0.25,3,0.22333333333333336,0.7766666666666667,0.22281443001443002,0.22666666666666666,0.23175113466775854,1.9423694914207037,0.2916892568113789
ruler_multiquery_niah,adaptive_headwise_pruning,0.25,0.75,1,0.845,0.01,1.0,1.0,N/A,-3.0493998204854655e-05,1.0000313467226158
ruler_multiquery_niah,adaptive_headwise_pruning,0.5,0.5,1,0.8425,0.02,1.0,1.0,N/A,-0.00017951773926361936,1.0001834928470563
ruler_multiquery_niah,adaptive_headwise_pruning,0.75,0.25,1,0.8425,0.02,1.0,1.0,N/A,0.00018188520105785866,0.999864255783716
ruler_multiquery_niah,attention_observation_pruning,0.25,0.75,1,0.8475,0.0,1.0,1.0,N/A,8.086204372473205e-05,0.9999213312331534
ruler_multiquery_niah,attention_observation_pruning,0.5,0.5,1,0.8425,0.02,1.0,1.0,N/A,-7.542792139079823e-05,1.000078047538769
ruler_multiquery_niah,attention_observation_pruning,0.75,0.25,1,0.8425,0.03,1.0,1.0,N/A,0.0006562283002660396,0.9994122106600953
ruler_multiquery_niah,budget_allocation_hierarchical,0.25,0.75,1,0.8475,0.0,1.0,1.0,N/A,8.086204372473205e-05,0.9999213312331534
ruler_multiquery_niah,budget_allocation_hierarchical,0.5,0.5,1,0.8425,0.02,1.0,1.0,N/A,-7.542792139079823e-05,1.000078047538769
ruler_multiquery_niah,budget_allocation_hierarchical,0.75,0.25,1,0.8425,0.03,1.0,1.0,N/A,0.0006562283002660396,0.9994122106600953
ruler_multiquery_niah,chunk_semantic_preservation,0.25,0.75,1,0.8825,0.03,1.0,1.0,N/A,0.0059175099028862975,0.9954198428644635
ruler_multiquery_niah,chunk_semantic_preservation,0.5,0.5,1,0.8025,0.17,1.0,1.0,N/A,0.06127782705530944,0.9684902272157287
ruler_multiquery_niah,chunk_semantic_preservation,0.75,0.25,1,0.6025,0.36,0.9917568542568542,1.0,N/A,0.5972168686359108,0.6893799212004845
ruler_multiquery_niah,hf_kv_cache_quantization,0.25,0.75,1,0.845,0.02,1.0,1.0,N/A,-5.9406847286562756e-05,1.000059471544712
ruler_multiquery_niah,hf_kv_cache_quantization,0.5,0.5,1,0.86,0.05,1.0,1.0,N/A,0.004079615593493611,0.9962341965372614
ruler_multiquery_niah,hf_kv_cache_quantization,0.75,0.25,1,0.125,0.38,1.0,1.0,N/A,1.7957590046483596,0.2841890474860902
ruler_multiquery_niah,key_channel_pruning,0.25,0.75,1,0.8925,0.03,1.0,1.0,N/A,0.02066759598660024,0.9816148527865748
