task_key,official_task_name,method_name,compression_ratio,retained_budget,n_samples,Acc,F1,CIF,ERR,ECov,DRR,delta_NLL,GPR,NA_metric_count
ruler_common_words_extraction,cwe,AdaKVPress,0.25,0.75,100,0.971,0.971,0.04,1.0,1.0,N/A,0.003273147230316571,0.9991318810227143,292
ruler_common_words_extraction,cwe,AdaKVPress,0.5,0.5,100,0.963,0.963,0.12,1.0,1.0,N/A,0.059817819063046326,0.9542441596491783,276
ruler_common_words_extraction,cwe,AdaKVPress,0.75,0.25,100,0.877,0.877,0.5,1.0,1.0,N/A,0.36783958735365035,0.7975008462673147,200
ruler_common_words_extraction,cwe,ChunkKVPress_Knorm,0.25,0.75,100,0.955,0.955,0.22,1.0,1.0,N/A,0.12128297356388923,1.1466361399606295,256
ruler_common_words_extraction,cwe,ChunkKVPress_Knorm,0.5,0.5,100,0.862,0.862,0.62,1.0,1.0,N/A,0.38528598200800923,1.0674460519714921,176
ruler_common_words_extraction,cwe,ChunkKVPress_Knorm,0.75,0.25,100,0.234,0.234,0.72,0.9972222222222222,0.9972222222222222,N/A,1.1134150377892262,0.824185604004877,156
ruler_common_words_extraction,cwe,KeyDiffPress,0.25,0.75,100,0.963,0.963,0.17,1.0,1.0,N/A,0.00483874400222219,1.0023259751587061,100
ruler_common_words_extraction,cwe,KeyDiffPress,0.5,0.5,100,0.924,0.924,0.35,1.0,1.0,N/A,0.010116916781645226,1.003857116729229,100
ruler_common_words_extraction,cwe,KeyDiffPress,0.75,0.25,100,0.8009999999999999,0.8009999999999999,0.63,1.0,1.0,N/A,0.14836186218161226,0.9201081670419794,100
ruler_common_words_extraction,cwe,PyramidKVPress,0.25,0.75,100,0.97,0.97,0.08,1.0,1.0,N/A,0.00653048700669002,0.9951677097007914,100
ruler_common_words_extraction,cwe,PyramidKVPress,0.5,0.5,100,0.9420000000000001,0.9420000000000001,0.23,1.0,1.0,N/A,0.04703822503484991,0.9664337417831593,100
ruler_common_words_extraction,cwe,PyramidKVPress,0.75,0.25,100,0.836,0.836,0.56,1.0,1.0,N/A,0.2568490913176914,0.8598206267863389,100
ruler_common_words_extraction,cwe,QuantizedCache,0.25,0.75,100,0.97,0.97,0.01,1.0,1.0,N/A,-3.095969138692922e-05,1.000299776165946,100
ruler_common_words_extraction,cwe,QuantizedCache,0.5,0.5,100,0.9620000000000001,0.9620000000000001,0.11,1.0,1.0,N/A,0.01619241385582347,0.9865498086348437,100
ruler_common_words_extraction,cwe,QuantizedCache,0.75,0.25,100,0.212,0.212,0.69,1.0,1.0,N/A,3.5865618194163904,0.39836720906923107,100
ruler_common_words_extraction,cwe,SnapKVPress,0.25,0.75,100,0.97,0.97,0.08,1.0,1.0,N/A,0.00653048700669002,0.9951677097007914,100
ruler_common_words_extraction,cwe,SnapKVPress,0.5,0.5,100,0.9420000000000001,0.9420000000000001,0.23,1.0,1.0,N/A,0.04703822503484991,0.9664337417831593,100
ruler_common_words_extraction,cwe,SnapKVPress,0.75,0.25,100,0.836,0.836,0.56,1.0,1.0,N/A,0.2568490913176914,0.8598206267863389,100
ruler_common_words_extraction,cwe,StreamingLLMPress,0.25,0.75,100,0.9690000000000001,0.9690000000000001,0.15,0.0,0.0,N/A,-0.05497487725946874,1.1785589748495406,100
ruler_common_words_extraction,cwe,StreamingLLMPress,0.5,0.5,100,0.932,0.932,0.29,0.0,0.0,N/A,0.024237555118527085,1.0054809688219757,100
ruler_common_words_extraction,cwe,StreamingLLMPress,0.75,0.25,100,0.826,0.826,0.62,0.0,0.0,N/A,0.13796216707124814,0.977972067043235,100
ruler_common_words_extraction,cwe,TOVAPress,0.25,0.75,100,0.971,0.971,0.03,1.0,1.0,N/A,0.016704560519038028,0.9902121555798709,100
ruler_common_words_extraction,cwe,TOVAPress,0.5,0.5,100,0.955,0.955,0.18,1.0,1.0,N/A,0.0437493891291211,0.9708123664750873,100
ruler_common_words_extraction,cwe,TOVAPress,0.75,0.25,100,0.838,0.838,0.63,1.0,1.0,N/A,0.42332175901210234,0.8025391849057018,100
ruler_common_words_extraction,cwe,ThinKPress,0.25,0.75,100,0.977,0.977,0.04,1.0,1.0,N/A,0.03426438070561495,0.973097981030785,292
ruler_common_words_extraction,cwe,ThinKPress,0.5,0.5,100,0.0,0.0,0.72,1.0,1.0,N/A,7.533272069703945,0.28018623854346936,156
ruler_common_words_extraction,cwe,ThinKPress,0.75,0.25,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500
ruler_frequent_words_extraction,fwe,AdaKVPress,0.25,0.75,100,0.87,0.87,0.06,1.0,1.0,N/A,-5.544200771148144e-06,1.0000055552219163,288
ruler_frequent_words_extraction,fwe,AdaKVPress,0.5,0.5,100,0.84,0.84,0.15,1.0,1.0,N/A,0.00011602547431481147,0.9998842704855653,270
ruler_frequent_words_extraction,fwe,AdaKVPress,0.75,0.25,100,0.8266666666666667,0.8266666666666667,0.22,1.0,1.0,N/A,0.00024287320478000307,0.9997584144295999,256
ruler_frequent_words_extraction,fwe,ChunkKVPress_Knorm,0.25,0.75,100,0.86,0.86,0.14,1.0,1.0,N/A,0.00043340723189951415,0.9995694519813239,272
ruler_frequent_words_extraction,fwe,ChunkKVPress_Knorm,0.5,0.5,100,0.83,0.83,0.19,1.0,1.0,N/A,0.0023048807453577356,0.9978444894929488,262
ruler_frequent_words_extraction,fwe,ChunkKVPress_Knorm,0.75,0.25,100,0.75,0.75,0.35,1.0,1.0,N/A,0.005806646529932251,0.9949844432321278,230
ruler_frequent_words_extraction,fwe,KeyDiffPress,0.25,0.75,100,0.8966666666666667,0.8966666666666667,0.09,1.0,1.0,N/A,-3.3363772647954093e-06,1.000003366404662,100
ruler_frequent_words_extraction,fwe,KeyDiffPress,0.5,0.5,100,0.87,0.87,0.16,1.0,1.0,N/A,0.0028873783301385193,0.9974908530430947,100
ruler_frequent_words_extraction,fwe,KeyDiffPress,0.75,0.25,100,0.8366666666666667,0.8366666666666667,0.28,1.0,1.0,N/A,0.036350453578695555,0.9894698643131656,100
ruler_frequent_words_extraction,fwe,PyramidKVPress,0.25,0.75,100,0.8566666666666667,0.8566666666666667,0.1,1.0,1.0,N/A,8.701968096772373e-05,0.9999132147436285,100
ruler_frequent_words_extraction,fwe,PyramidKVPress,0.5,0.5,100,0.8466666666666667,0.8466666666666667,0.18,1.0,1.0,N/A,0.0002509061197893403,0.999751206443499,100
ruler_frequent_words_extraction,fwe,PyramidKVPress,0.75,0.25,100,0.8233333333333333,0.8233333333333333,0.24,1.0,1.0,N/A,0.0004881931103355597,0.9995188276534225,100
ruler_frequent_words_extraction,fwe,QuantizedCache,0.25,0.75,100,0.8633333333333333,0.8633333333333333,0.06,1.0,1.0,N/A,2.9122156382797025e-05,0.9999709036826802,100
ruler_frequent_words_extraction,fwe,QuantizedCache,0.5,0.5,100,0.87,0.87,0.1,1.0,1.0,N/A,0.00011854087846878025,0.999881814125917,100
ruler_frequent_words_extraction,fwe,QuantizedCache,0.75,0.25,100,0.18666666666666665,0.18666666666666665,0.59,1.0,1.0,N/A,0.5424342023868547,0.739353242088181,100
ruler_frequent_words_extraction,fwe,SnapKVPress,0.25,0.75,100,0.8566666666666667,0.8566666666666667,0.1,1.0,1.0,N/A,8.701968096772373e-05,0.9999132147436285,100
ruler_frequent_words_extraction,fwe,SnapKVPress,0.5,0.5,100,0.8466666666666667,0.8466666666666667,0.18,1.0,1.0,N/A,0.0002509061197893403,0.999751206443499,100
ruler_frequent_words_extraction,fwe,SnapKVPress,0.75,0.25,100,0.8233333333333333,0.8233333333333333,0.24,1.0,1.0,N/A,0.0004881931103355597,0.9995188276534225,100
