task_key,official_task_name,method_name,compression_ratio,retained_budget,n_samples,Acc,F1,CIF,ERR,ECov,DRR,delta_NLL,GPR,NA_metric_count
ruler_frequent_words_extraction,fwe,ChunkKVPress_Knorm,0.75,0.25,100,0.75,0.75,0.36,N/A,N/A,N/A,0.0030293860250330275,0.9974120816728929,300
ruler_frequent_words_extraction,fwe,KeyDiffPress,0.25,0.75,100,0.93,0.93,0.08,1.0,1.0,N/A,0.0022864626524810227,0.9978209821369627,100
ruler_frequent_words_extraction,fwe,KeyDiffPress,0.5,0.5,100,0.8833333333333333,0.8833333333333333,0.21,1.0,1.0,N/A,0.009002571988815537,0.9925159184418862,100
ruler_frequent_words_extraction,fwe,KeyDiffPress,0.75,0.25,100,0.76,0.76,0.41,1.0,1.0,N/A,0.025708810370361216,0.9821527590051161,100
ruler_frequent_words_extraction,fwe,PyramidKVPress,0.25,0.75,100,0.9366666666666668,0.9366666666666668,0.06,1.0,1.0,N/A,0.00023580316577895166,0.9997730134394941,100
ruler_frequent_words_extraction,fwe,PyramidKVPress,0.5,0.5,100,0.9266666666666667,0.9266666666666667,0.1,1.0,1.0,N/A,0.0008765006316997637,0.9992199264723075,100
ruler_frequent_words_extraction,fwe,PyramidKVPress,0.75,0.25,100,0.8933333333333333,0.8933333333333333,0.2,1.0,1.0,N/A,0.0023563167978266275,0.9980954967055199,100
ruler_frequent_words_extraction,fwe,QuantizedCache,0.25,0.75,99,0.9528619528619529,0.9528619528619529,0.020202020202020204,1.0,1.0,N/A,9.660181587937952e-05,0.999904318393518,99
ruler_frequent_words_extraction,fwe,QuantizedCache,0.5,0.5,100,0.8566666666666667,0.8566666666666667,0.15,1.0,1.0,N/A,0.0014959394751967103,0.9986680571807951,100
ruler_frequent_words_extraction,fwe,QuantizedCache,0.75,0.25,100,0.17666666666666664,0.17666666666666664,0.8,1.0,1.0,N/A,0.654470332595706,0.743190974157589,100
ruler_frequent_words_extraction,fwe,SnapKVPress,0.25,0.75,100,0.9366666666666668,0.9366666666666668,0.06,1.0,1.0,N/A,0.00023580316577895166,0.9997730134394941,100
ruler_frequent_words_extraction,fwe,SnapKVPress,0.5,0.5,100,0.9266666666666667,0.9266666666666667,0.1,1.0,1.0,N/A,0.0008765006316997637,0.9992199264723075,100
ruler_frequent_words_extraction,fwe,SnapKVPress,0.75,0.25,100,0.8933333333333333,0.8933333333333333,0.2,1.0,1.0,N/A,0.0023563167978266275,0.9980954967055199,100
ruler_frequent_words_extraction,fwe,StreamingLLMPress,0.25,0.75,100,0.8866666666666667,0.8866666666666667,0.11,0.0,0.0,N/A,0.020431485254890806,0.9836422260235966,100
ruler_frequent_words_extraction,fwe,StreamingLLMPress,0.5,0.5,100,0.9,0.9,0.13,0.0,0.0,N/A,0.023271518744633245,0.9828789115060735,100
ruler_frequent_words_extraction,fwe,StreamingLLMPress,0.75,0.25,100,0.8933333333333333,0.8933333333333333,0.12,0.0,0.0,N/A,0.02025501519686049,0.9859702671691395,100
ruler_frequent_words_extraction,fwe,TOVAPress,0.25,0.75,100,0.9333333333333332,0.9333333333333332,0.06,1.0,1.0,N/A,-0.0004491248481130006,1.000453782555733,100
